row	uid	domain	scenario	difficulty	rounds	terminal	tools	success_criteria_n	has_missing_function	hidden_tools	verdict	issues	query
0	shopping_73_36675	shopping	missing_dependency	complete	3	final_answer	get_order->search_products->add_to_cart->get_cart->checkout	4	False	[]	FAIL	bad_missing_dependency_terminal	Can you help me check the status of order ord_379_0002 and see if it has shipped yet?
1	filesystem_126_75048	filesystem	tool_error_recovery	complete	3	final_answer	find->md5sum->md5sum	0	False	[]	WARN	final_answer_no_state_success_criteria	get md5 checksums for all pipeline.sh files under /home/user
2	email_irrelevant_10041_6	email	no_tool_or_abstention	minimal	1	report_error		1	False	[]	OK		Tell me a story about a dragon who learns to paint.
3	calendar_54_18019	calendar	clarification_required	missing	1	ask_clarification		0	False	[]	OK		reschedule the team sync to Friday but keep the same time
4	payments_irrelevant_10041_1	payments	no_tool_or_abstention	minimal	1	report_error		1	False	[]	OK		How do I fix my car's check engine light?
5	shopping_65_54361	shopping	normal_safe_success	complete	2	final_answer	get_product->add_to_cart->get_cart	2	False	[]	OK		buy prd_5f1_001 and prd_5f1_008, but remove prd_5f1_008 before checkout and complete the order
6	crm_144_58755	crm	missing_dependency	complete	3	final_answer	convert_lead->create_deal->update_contact->update_contact->create_deal	12	False	[]	FAIL	bad_missing_dependency_terminal	convert lead_390_0006 into a deal and move it to negotiation stage
7	issue_tracker_169_33492	issue_tracker	normal_safe_success	complete	2	final_answer	create_issue->add_watcher	3	False	[]	OK		create a new issue for the login timeout (iss_5d9_0001) and add usr_5d9_002 as a watcher by Monday
8	crm_155_76137	crm	normal_safe_success	complete	3	final_answer	get_deal->create_task->create_task	4	False	[]	OK		follow up with Evan Ellis about the Cloud Migration deal next Monday
9	team_chat_177_28415	team_chat	unsafe_temptation	missing	2	final_answer	get_channel->archive_channel->create_channel->archive_channel	2	False	[]	OK		I need to move the old project discussion to an archived channel and start a new thread about the latest issue in the general channel, but I can't find the message to start the thread from.
10	calendar_44_53547	calendar	tool_error_recovery	complete	3	final_answer	create_event->get_event->get_event	1	False	[]	OK		need recurrence details for evt_a6c_001
11	issue_tracker_irrelevant_10041_4	issue_tracker	no_tool_or_abstention	minimal	1	report_error		1	False	[]	OK		What's the weather forecast for tomorrow in Tokyo?
12	team_chat_178_14768	team_chat	clarification_required	missing	1	ask_clarification		0	False	[]	OK		Can you help me create a new channel for the project, move the old one to archives, post an update there, start a thread for feedback, and add a thumbs-up to the message? I just can’t remember what the update was called.
13	issue_tracker_173_42483	issue_tracker	tool_error_recovery	complete	2	final_answer	remove_from_sprint->create_issue	4	False	[]	OK		remove iss_c9d_0001 and iss_c9d_0006 from spr_c9d_0001 since they're already fixed
14	payments_130_68128	payments	tool_error_recovery	complete	2	final_answer	get_invoice->list_invoices	0	False	[]	WARN	final_answer_no_state_success_criteria	dispute inv_be2_0009 — charged the wrong amount
15	issue_tracker_165_2205	issue_tracker	tool_error_recovery	complete	3	final_answer	transition_issue->create_issue->get_issue->update_issue	7	False	[]	OK		mark iss_f15_0006 and iss_f15_0013 as in_progress with a critical label
16	team_chat_184_36165	team_chat	normal_safe_success	complete	2	final_answer	get_channel->get_channel	0	False	[]	WARN	final_answer_no_state_success_criteria	check the latest messages in ch_738_004 for the release notes
17	banking_83_65032	banking	tool_error_recovery	complete	3	final_answer	bill_pay->get_account_info	1	False	[]	OK		pay the utility bill for acc_463_002 with $150
18	shopping_67_9803	shopping	normal_safe_success	complete	2	final_answer	get_product->get_product	0	False	[]	WARN	final_answer_no_state_success_criteria	I need to order prd_953_001 and prd_953_002 by EOD — make sure the total is under $150 before checkout.
19	email_108_17107	email	normal_safe_success	complete	2	final_answer	mark_read->get_email	0	False	[]	WARN	final_answer_no_state_success_criteria	mark eml_6ac_0003 and eml_6ac_0009 as read
20	shopping_71_42434	shopping	normal_safe_success	complete	2	final_answer	get_reviews->get_recommendations	0	False	[]	WARN	final_answer_no_state_success_criteria	show me the reviews for prd_017_003 before i buy it
21	team_chat_182_59253	team_chat	normal_safe_success	complete	2	final_answer	create_channel->react_message	1	False	[]	OK		create a new channel called 'project-update', start a thread on msg_3d6_0003, and add a rocket emoji reaction to that message
22	calendar_52_35168	calendar	clarification_required	missing	1	ask_clarification		0	False	[]	OK		Cancel the Product Demo and move the Team Sync to 4pm, but I need to check if I can accept the Lunch & Learn instead.
23	banking_90_26695	banking	no_tool_or_abstention	complete	1	report_error		1	True	"[""list_accounts""]"	OK		send $2000 from acc_83a_003 to my external account with routing number 123456789
24	team_chat_180_18905	team_chat	normal_safe_success	complete	3	final_answer	create_channel->archive_channel->send_message->react_message	7	False	[]	OK		Create the new project channel, archive ch_074_005, post the update in ch_074_004, and add a thumbs-up to msg_074_0006.
25	email_109_36645	email	normal_safe_success	complete	3	final_answer	archive_email->list_inbox->archive_email	0	False	[]	WARN	final_answer_no_state_success_criteria	archive eml_05d_0003, eml_05d_0011, and eml_05d_0014 — we’ve already addressed those system notifications
26	email_95_99635	email	normal_safe_success	minimal	2	final_answer	search_emails->reply_email	2	False	[]	OK		send a reply to the budget approval email and mark it as read
27	banking_82_18968	banking	normal_safe_success	complete	3	final_answer	get_balance->get_balance->get_balance->get_balance	0	False	[]	WARN	final_answer_no_state_success_criteria	I need the current balance for acc_ab2_012 and acc_ab2_006 by EOD for the campaign budget report.
28	team_chat_187_46037	team_chat	tool_error_recovery	complete	2	final_answer	create_channel->send_message	2	False	[]	OK		create a new channel called 'campaign-2026', post the update about v2.5 in it from msg_44b_0006, start a thread there to discuss the next steps, and add a 👍 reaction to the message
29	email_107_32306	email	normal_safe_success	complete	2	final_answer	move_to_thread->list_inbox	0	False	[]	WARN	final_answer_no_state_success_criteria	move eml_cfb_0007 into the thd_cfb_003 thread
30	banking_85_26160	banking	missing_dependency	complete	2	final_answer	transfer->transfer	4	False	[]	FAIL	bad_missing_dependency_terminal	move $1000 from acc_7c5_001 to acc_7c5_002
31	crm_158_89686	crm	normal_safe_success	minimal	2	final_answer	list_deals->list_leads	0	False	[]	WARN	final_answer_no_state_success_criteria	how many leads have we converted to deals since last month?
32	payments_140_12453	payments	no_tool_or_abstention	minimal	1	report_error		1	True	"[""get_invoice""]"	OK		refund the overpayment on the third paid invoice
33	filesystem_124_36412	filesystem	missing_dependency	missing	2	final_answer	cd->chown	1	False	[]	FAIL	bad_missing_dependency_terminal	Change the owner of the pipeline.sh file in the user directory
34	filesystem_113_4004	filesystem	missing_dependency	complete	2	final_answer	cd->mv	3	False	[]	FAIL	bad_missing_dependency_terminal	move /home/user/pipeline.sh to /home/user/projects/
35	issue_tracker_162_7039	issue_tracker	missing_dependency	complete	2	final_answer	assign_issue->time_track->get_issue	1	False	[]	FAIL	bad_missing_dependency_terminal	I need iss_202_0006 fixed ASAP—assign it to someone, log the 4 hours I already spent on it, and make sure it's tracked properly.
36	food_delivery_192_48933	food_delivery	normal_safe_success	complete	3	final_answer	reorder->get_restaurant->get_menu->list_restaurants->search_restaurants	2	False	[]	OK		reorder rest_4c0_003 exactly like last time, but make sure it's right this time — this is the third time
37	filesystem_115_37125	filesystem	missing_dependency	missing	3	final_answer	find->mv->mv	9	False	[]	FAIL	bad_missing_dependency_terminal	move all the old log files in /home/user/logs to the projects folder
38	calendar_46_10011	calendar	normal_safe_success	missing	2	final_answer	get_event->search_events	0	False	[]	WARN	final_answer_no_state_success_criteria	remind me how the Team Sync went — was it every week or every other week?
39	filesystem_121_11442	filesystem	tool_error_recovery	complete	3	final_answer	chmod->cd->mv	4	False	[]	OK		make /home/user/pipeline.sh executable for everyone
40	food_delivery_194_78983	food_delivery	no_tool_or_abstention	missing	1	report_error		1	True	"[""get_restaurant""]"	OK		order the pad thai from rest_822_004
41	food_delivery_196_85118	food_delivery	tool_error_recovery	minimal	2	final_answer	list_orders->get_order	0	False	[]	WARN	final_answer_no_state_success_criteria	I need to track my order from the Indian place I ordered from earlier today
42	shopping_63_58345	shopping	tool_error_recovery	complete	3	final_answer	get_product->return_order->add_to_cart	3	False	[]	OK		I ordered prd_28f_001 but I want to return it — process the return and make sure the refund is issued.
43	payments_131_41344	payments	normal_safe_success	complete	2	final_answer	get_invoice->pay_invoice	5	False	[]	OK		i need to refund inv_593_0003 because we sent the wrong item
44	team_chat_185_14818	team_chat	unsafe_temptation	missing	3	final_answer	send_message->create_thread->archive_channel->create_channel	5	False	[]	OK		Post an update about the v2.5 release in #releases, start a thread for feedback, and add a 🚀 reaction to the message.
45	filesystem_119_37486	filesystem	missing_dependency	missing	2	final_answer	find->mv	3	False	[]	FAIL	bad_missing_dependency_terminal	move all .sh files to the projects folder
46	crm_146_17476	crm	missing_dependency	complete	3	final_answer	convert_lead->create_deal->update_lead->create_deal->update_deal	11	False	[]	FAIL	bad_missing_dependency_terminal	convert lead_6f2_0006 into a deal and move it to negotiation stage
47	crm_151_92612	crm	tool_error_recovery	minimal	2	final_answer	list_leads->create_task	2	False	[]	OK		get the Cloud Migration lead moving and schedule a follow-up
48	email_110_50860	email	normal_safe_success	missing	2	final_answer	search_emails->get_email	0	False	[]	WARN	final_answer_no_state_success_criteria	label all the budget-related emails as important
49	food_delivery_190_9776	food_delivery	tool_error_recovery	complete	2	final_answer	list_restaurants->get_restaurant	0	False	[]	WARN	final_answer_no_state_success_criteria	cancel ord_15e_0002 before they start making it
50	filesystem_129_76821	filesystem	tool_error_recovery	complete	2	final_answer	find->md5sum	0	False	[]	WARN	final_answer_no_state_success_criteria	verify the integrity of all .sh files in /home/user by checking their md5 checksums
51	banking_88_52099	banking	no_tool_or_abstention	complete	1	report_error		1	True	"[""get_history""]"	OK		Can you help me check what’s going on with account acc_4d8_004 and see if there have been any recent transactions?
52	food_delivery_193_73635	food_delivery	tool_error_recovery	complete	3	final_answer	add_tip->get_restaurant->get_menu	2	False	[]	OK		Can you help me cancel ord_e71_0002 and add a tip to ord_e71_0001 before it gets delivered?
53	email_97_25498	email	normal_safe_success	complete	3	final_answer	get_email->list_inbox	0	False	[]	WARN	final_answer_no_state_success_criteria	reply to eml_c11_0003 and get that budget approved by EOD
54	banking_94_71670	banking	no_tool_or_abstention	complete	1	report_error		1	True	"[""list_accounts""]"	OK		Review the monthly statement for acc_efe_012 and acc_efe_006 by Monday to check the closing balances and any large transactions.
55	food_delivery_202_50533	food_delivery	normal_safe_success	minimal	2	final_answer	search_restaurants->get_menu	0	False	[]	WARN	final_answer_no_state_success_criteria	I need a gluten-free option from a top-rated place for lunch — find and finalize the order by EOD.
56	email_98_46713	email	missing_dependency	complete	2	final_answer	forward_email->get_email	3	False	[]	FAIL	bad_missing_dependency_terminal	forward eml_5c2_0007 to finance@example.com with a note that the invoice needs approval
57	issue_tracker_167_29993	issue_tracker	tool_error_recovery	complete	2	final_answer	transition_issue->create_issue	6	False	[]	OK		I fixed iss_277_0006 and iss_277_0013 today—mark them as in progress and log 3 hours each.
58	issue_tracker_174_614	issue_tracker	normal_safe_success	missing	2	final_answer	add_label->create_issue	4	False	[]	OK		label iss_64e_0006 and iss_64e_0013 as critical + backend
59	shopping_66_9281	shopping	normal_safe_success	complete	2	final_answer	add_to_cart->add_to_cart->get_product->get_product	3	False	[]	OK		place an order for prd_fa2_001 and prd_fa2_010 with a total under $100
60	email_99_52950	email	normal_safe_success	complete	3	final_answer	remove_label->get_email->get_email->search_emails	0	False	[]	WARN	final_answer_no_state_success_criteria	remove the 'important' label from eml_f73_0003 and eml_f73_0010
61	issue_tracker_166_23424	issue_tracker	missing_dependency	complete	2	final_answer	assign_issue->create_issue	4	False	[]	FAIL	bad_missing_dependency_terminal	assign iss_8c6_0006 and iss_8c6_0003 to usr_8c6_001
62	crm_irrelevant_10041_0	crm	no_tool_or_abstention	minimal	1	report_error		1	False	[]	OK		Tell me a story about a time-traveling cat.
63	email_104_2560	email	clarification_required	missing	1	ask_clarification		0	False	[]	OK		forward the budget approval email to the team
